Level, Branch, Bus1, Bus2, Distance
33, Line.s_mdv201_hn_2_091_abc44583-1c0, x_44583.3, x_44583_1.3,     1.7094
-1, Load.mdv201_hn_2_091_abc44583-1c0, x_44583_1.3
32, Line.mdv201_hn_2_248_abc44584, 44583, 44584,     1.7091
33, Transformer.mdv201_hn_2_248_abc44584-1c, 44584.3, x_44584.3,     1.7091
34, Line.s_mdv201_hn_2_248_abc44584-1c2, x_44584.3, x_44584_3.3,     1.7395
-1, Load.mdv201_hn_2_248_abc44584-1c2, x_44584_3.3
34, Line.s_mdv201_hn_2_248_abc44584-1c1, x_44584.3, x_44584_2.3,     1.7395
-1, Load.mdv201_hn_2_248_abc44584-1c1, x_44584_2.3
34, Line.s_mdv201_hn_2_248_abc44584-1c0, x_44584.3, x_44584_1.3,     1.7395
-1, Load.mdv201_hn_2_248_abc44584-1c0, x_44584_1.3
33, Line.mdv201_hn_2_089_abc8163, 44584, 8163,     1.7691
34, Transformer.mdv201_hn_2_089_abc8163-1c, 8163.3, x_8163.3,     1.7691
35, Line.s_mdv201_hn_2_089_abc8163-1c2, x_8163.3, x_8163_3.3,     1.7996
-1, Load.mdv201_hn_2_089_abc8163-1c2, x_8163_3.3
35, Line.s_mdv201_hn_2_089_abc8163-1c1, x_8163.3, x_8163_2.3,     1.7996
-1, Load.mdv201_hn_2_089_abc8163-1c1, x_8163_2.3
35, Line.s_mdv201_hn_2_089_abc8163-1c0, x_8163.3, x_8163_1.3,     1.7996
-1, Load.mdv201_hn_2_089_abc8163-1c0, x_8163_1.3
34, Line.mdv201_hn_2_088_abc8164, 8163, 8164,     1.8532
35, Transformer.mdv201_hn_2_088_abc8164-1c, 8164.3, x_8164.3,     1.8532
36, Line.s_mdv201_hn_2_088_abc8164-1c3, x_8164.3, x_8164_4.3,     1.8837
-1, Load.mdv201_hn_2_088_abc8164-1c3, x_8164_4.3
36, Line.s_mdv201_hn_2_088_abc8164-1c2, x_8164.3, x_8164_3.3,     1.8837
-1, Load.mdv201_hn_2_088_abc8164-1c2, x_8164_3.3
36, Line.s_mdv201_hn_2_088_abc8164-1c1, x_8164.3, x_8164_2.3,     1.8837
-1, Load.mdv201_hn_2_088_abc8164-1c1, x_8164_2.3
36, Line.s_mdv201_hn_2_088_abc8164-1c0, x_8164.3, x_8164_1.3,     1.8837
-1, Load.mdv201_hn_2_088_abc8164-1c0, x_8164_1.3
35, Line.mdv201_hn_2_360_abc8165, 8164, 8165,     1.8782
36, Transformer.mdv201_hn_2_360_abc8165-1c, 8165.3, x_8165.3,     1.8782
37, Line.s_mdv201_hn_2_360_abc8165-1c1, x_8165.3, x_8165_2.3,     1.9087
-1, Load.mdv201_hn_2_360_abc8165-1c1, x_8165_2.3
37, Line.s_mdv201_hn_2_360_abc8165-1c0, x_8165.3, x_8165_1.3,     1.9087
-1, Load.mdv201_hn_2_360_abc8165-1c0, x_8165_1.3
36, Line.mdv201_hn_2_086_abc8167, 8165, 8167,     1.9413
37, Transformer.mdv201_hn_2_086_abc8167-1b, 8167.2, x_8167.2,     1.9413
38, Line.s_mdv201_hn_2_086_abc8167-1b4, x_8167.2, x_8167_5.2,     1.9718
-1, Load.mdv201_hn_2_086_abc8167-1b4, x_8167_5.2
38, Line.s_mdv201_hn_2_086_abc8167-1b3, x_8167.2, x_8167_4.2,     1.9718
-1, Load.mdv201_hn_2_086_abc8167-1b3, x_8167_4.2
38, Line.s_mdv201_hn_2_086_abc8167-1b2, x_8167.2, x_8167_3.2,     1.9718
-1, Load.mdv201_hn_2_086_abc8167-1b2, x_8167_3.2
38, Line.s_mdv201_hn_2_086_abc8167-1b1, x_8167.2, x_8167_2.2,     1.9718
-1, Load.mdv201_hn_2_086_abc8167-1b1, x_8167_2.2
38, Line.s_mdv201_hn_2_086_abc8167-1b0, x_8167.2, x_8167_1.2,     1.9718
-1, Load.mdv201_hn_2_086_abc8167-1b0, x_8167_1.2
37, Line.mdv201_hn_2_578_abc44585, 8167, 44585,     1.9745
38, Line.mdv201_hn_2_085_abc38388, 44585, 38388,     2.0087
39, Transformer.mdv201_hn_2_085_abc38388-1b, 38388.2, x_38388.2,     2.0087
40, Line.s_mdv201_hn_2_085_abc38388-1b2, x_38388.2, x_38388_3.2,     2.0391
-1, Load.mdv201_hn_2_085_abc38388-1b2, x_38388_3.2
40, Line.s_mdv201_hn_2_085_abc38388-1b1, x_38388.2, x_38388_2.2,     2.0391
-1, Load.mdv201_hn_2_085_abc38388-1b1, x_38388_2.2
40, Line.s_mdv201_hn_2_085_abc38388-1b0, x_38388.2, x_38388_1.2,     2.0391
-1, Load.mdv201_hn_2_085_abc38388-1b0, x_38388_1.2
39, Line.mdv201_hn_2_312_abc44586, 38388, 44586,     2.0690
40, Transformer.mdv201_hn_2_312_abc44586-1b, 44586.2, x_44586.2,     2.0690
41, Line.s_mdv201_hn_2_312_abc44586-1b0, x_44586.2, x_44586_1.2,     2.0995
-1, Load.mdv201_hn_2_312_abc44586-1b0, x_44586_1.2
40, Line.mdv201_hn_2_657_c62231, 44586.3, 62231.3,     2.0870
41, Line.mdv201_106883fuse, 62231.3, 106883.3,     2.0885
42, Line.mdv201_hn_2_658_c62236, 106883.3, 62236.3,     2.1458
43, Transformer.mdv201_hn_2_658_c62236-1c, 62236.3, x_62236.3,     2.1458
44, Line.s_mdv201_hn_2_658_c62236-1c2, x_62236.3, x_62236_3.3,     2.1763
-1, Load.mdv201_hn_2_658_c62236-1c2, x_62236_3.3
44, Line.s_mdv201_hn_2_658_c62236-1c1, x_62236.3, x_62236_2.3,     2.1763
-1, Load.mdv201_hn_2_658_c62236-1c1, x_62236_2.3
44, Line.s_mdv201_hn_2_658_c62236-1c0, x_62236.3, x_62236_1.3,     2.1763
-1, Load.mdv201_hn_2_658_c62236-1c0, x_62236_1.3
43, Line.mdv201_hn_2_659_c62237, 62236.3, 62237.3,     2.2050
44, Line.mdv201_hn_2_660_c62246, 62237.3, 62246.3,     2.2482
45, Transformer.mdv201_hn_2_660_c62246-1c, 62246.3, x_62246.3,     2.2482
